,id,created_on,property_type,lat,lon,local price,usd price,barrio,commune
12353,ed7d61a4fa9a8f733c21cc95c92a3ae0e9c2bbb5,2/10/2015,apartment,-34.680814,-58.470916,2758.73,159.7,30,8
15836,cce1d0eb89b229dbbfa1e33342ec6512d211292a,4/13/2015,apartment,-34.6902801,-58.4621129,2758.73,159.7,30,8
15837,70bd982c38792ca17c4b48b84720bf633770a0cf,4/13/2015,apartment,-34.6875963,-58.4735858,2758.73,159.7,34,8
15838,ed7d61a4fa9a8f733c21cc95c92a3ae0e9c2bbb5,2/10/2015,apartment,-34.680814,-58.470916,2758.73,159.7,30,8
15844,0f39f49e399ea08bc05f97050e97093c69640925,4/13/2015,apartment,-34.67921892,-58.49035625,2758.73,159.7,30,8
28120,f802726536b25bdc59db01956cac97f54b550bd5,11/12/2015,store,-34.60371374,-58.38158089,2791.05,162.91,43,1
32828,f802726536b25bdc59db01956cac97f54b550bd5,11/12/2015,store,-34.60371374,-58.38158089,2601.42,162.91,43,1
37002,f802726536b25bdc59db01956cac97f54b550bd5,11/12/2015,store,-34.60371374,-58.38158089,2601.42,162.91,43,1
40765,f802726536b25bdc59db01956cac97f54b550bd5,11/12/2015,store,-34.60371374,-58.38158089,2744.87,162.91,43,1
44120,f802726536b25bdc59db01956cac97f54b550bd5,11/12/2015,store,-34.60371374,-58.38158089,2601.42,162.91,43,1
45638,f802726536b25bdc59db01956cac97f54b550bd5,11/12/2015,store,-34.60371374,-58.38158089,2601.42,162.91,43,1
47204,f802726536b25bdc59db01956cac97f54b550bd5,11/12/2015,store,-34.60371374,-58.38158089,2791.05,162.91,43,1
32903,85ff55ae102442b9b5e242218d739c381aa7ba1b,7/29/2015,store,-34.6448396,-58.5002122,2615.16,163.77,17,10
6428,974dd5fe1a485cb5429079ee506b47a7b916df45,5/21/2015,store,-34.60928563,-58.38482281,2852.01,165.1,36,1
9078,974dd5fe1a485cb5429079ee506b47a7b916df45,5/21/2015,store,-34.60928563,-58.38482281,2852.01,165.1,36,1
12102,974dd5fe1a485cb5429079ee506b47a7b916df45,5/21/2015,store,-34.60928563,-58.38482281,2852.01,165.1,36,1
6569,e1a36745f51afaf744eb5b055f566c3cd10789be,5/1/2015,store,-34.59998521,-58.43869991,2928.54,169.53,6,15
9244,e1a36745f51afaf744eb5b055f566c3cd10789be,5/1/2015,store,-34.59998521,-58.43869991,2928.54,169.53,6,15
12325,e1a36745f51afaf744eb5b055f566c3cd10789be,5/1/2015,store,-34.59998521,-58.43869991,2928.54,169.53,6,15
15821,e1a36745f51afaf744eb5b055f566c3cd10789be,5/1/2015,store,-34.59998521,-58.43869991,2928.54,169.53,6,15
19422,e1a36745f51afaf744eb5b055f566c3cd10789be,5/1/2015,store,-34.59998521,-58.43869991,2904.47,169.53,6,15
23966,e1a36745f51afaf744eb5b055f566c3cd10789be,5/1/2015,store,-34.59998521,-58.43869991,2904.47,169.53,6,15
8796,17befee1f93d8a26a1bb3b07b5606575162c1dba,6/11/2015,apartment,-34.6315503,-58.4709898,2984.51,172.77,19,7
11782,17befee1f93d8a26a1bb3b07b5606575162c1dba,6/11/2015,apartment,-34.6315503,-58.4709898,2984.51,172.77,19,7
15278,17befee1f93d8a26a1bb3b07b5606575162c1dba,6/11/2015,apartment,-34.6315503,-58.4709898,2984.51,172.77,19,7
18997,17befee1f93d8a26a1bb3b07b5606575162c1dba,6/11/2015,apartment,-34.6315503,-58.4709898,2959.98,172.77,19,7
15556,e6190ddc93bda77a5e263cc3c92d976088b0fb73,8/1/2015,store,-34.5570204,-58.4458095,2989.87,173.08,1,13
19236,e6190ddc93bda77a5e263cc3c92d976088b0fb73,8/1/2015,store,-34.5570204,-58.4458095,2965.29,173.08,1,13
86,5dc584d89b476e41502c76ecb13f124ea4167818,1/11/2015,apartment,-34.5928028,-58.4910141,3212.36,185.96,25,15
727,5dc584d89b476e41502c76ecb13f124ea4167818,1/11/2015,apartment,-34.5928028,-58.4910141,3212.36,185.96,25,15
