field_1,id_left,lat,lon,join_long,join_lat,join_id,join_object,join_name,distance
"144875",fa396a42ae4ba88ba18491741944176fe8f783b4,-34.6221021,-58.4878358,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.034102256569123
"166955",bd4110ba9cb8eac36601a3732714d342c21b6cf5,-34.621805,-58.48671,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0334345453946473
"84714",517b38c6da82e068b762b7148a948c6077373b83,-34.6327243,-58.4908319,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0313464185526346
"166037",aca915ad67ef7ea5ac59590476c0e32dabf101d4,-34.6320515,-58.4920609,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0327341711793991
"166040",453ad0d6b48b555243cf09b0b96a5338af163e39,-34.6320515,-58.4920609,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0327341711793991
"84715",b004ecb8d1ed3865ae31b8e95cbe5ff940eb9878,-34.6413998,-58.4865579,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0251774150580171
"141449",047b04da9cd53e734080056796013f4c261b0021,-34.6440529,-58.4849865,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0234973335850097
"84720",60a22f666527cba802858e378db45c6e75ede3e9,-34.6354215,-58.482746,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0228308430356267
"89999",b88f2e3770faa1c9e7813b73014c689f735e3514,-34.6348034,-58.4829965,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0232947370925123
"190642",1a3a9fa36483b30a15f1b24822cf6115b0a1b760,-34.6344312,-58.483028,-58.4614910346889,-34.6437565970805,"1",premetro station,INTENDENTE SAGUIER,0.0234692118640726
"84733",3ddafd4974cb28b03102d6bf3e5170df8fa09873,-34.5963384,-58.4030445,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.0746973699404419
"84792",27b774a96f34460b89ed5a8ee0b169dcae851bd7,-34.5952438,-58.4041735,-58.4564145813745,-34.6486005420351,"2",premetro station,BALBASTRO (CEMENTERIO DE FLORES),0.0746731042864676
