barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
3,2016-11-30,37,166683.7837837838,1.0,1.0,62900.0,1100000.0,180032.28956297055
3,2016-12-31,38,205362.63157894736,0.0,1.0,79500.0,1600000.0,244188.057399766
3,2017-01-31,25,212568.8,3.0,1.0,50000.0,1600000.0,295615.5839983181
3,2017-02-28,40,552757.5,2.0,13.0,70000.0,2200000.0,658480.0843463448
3,2017-03-31,123,180103.48780487804,0.0,4.0,83000.0,800000.0,121974.33563155857
3,2017-04-30,44,202383.8409090909,1.0,2.0,75000.0,550000.0,144774.42073244834
3,2017-05-31,86,198872.29220930228,0.0,0.0,79000.0,470000.0,101081.9195951016
3,2017-06-30,79,259303.79746835443,2.0,9.0,70000.0,1600000.0,317931.44595402956
3,2017-07-31,164,339779.6689634146,9.0,17.0,65000.0,6500000.0,757306.5852768577
3,2017-08-31,11,204709.0909090909,0.0,0.0,95000.0,370000.0,109684.58829339201
3,2017-09-30,221,228482.5680995475,1.0,18.0,64000.0,1290000.0,219818.06057721018
3,2017-10-31,102,214579.32352941178,12.0,10.0,46817.0,800000.0,202062.673020823
3,2017-11-30,64,204222.4375,1.0,4.0,59036.0,1800000.0,323411.91388691304
3,2017-12-31,16,344437.5,0.0,3.0,120000.0,1100000.0,341135.7439983875
3,2018-01-31,20,294903.0,1.0,4.0,58086.0,999000.0,293615.97560885013
3,2018-02-28,1,899000.0,0.0,1.0,899000.0,899000.0,
4,2014-07-31,22,116352.27272727272,7.0,0.0,54000.0,298000.0,67404.20093816523
4,2014-08-31,24,116445.83333333333,6.0,0.0,45500.0,300000.0,56827.65691615052
4,2014-09-30,37,165013.51351351352,12.0,2.0,45000.0,1600000.0,273124.47524705465
4,2014-10-31,16,124118.75,2.0,0.0,55000.0,370000.0,79933.54922475711
4,2014-11-30,51,322646.6023529412,9.0,5.0,55000.0,5000000.0,734311.2992632648
4,2014-12-31,32,145999.02531250002,7.0,1.0,15968.81,550000.0,106283.87283096572
4,2015-01-31,11,103045.45454545454,3.0,0.0,65000.0,169000.0,38254.708563426895
4,2015-02-28,86,129336.35790697673,15.0,1.0,57000.0,600000.0,82331.48703529137
4,2015-03-31,73,140853.38301369865,10.0,0.0,19900.0,390000.0,72794.0688114568
4,2015-04-30,154,173150.76493506494,39.0,4.0,44500.0,1600000.0,225252.75623138883
4,2015-05-31,106,172017.9245283019,8.0,2.0,57000.0,700000.0,110236.58091073715
4,2015-06-30,97,120797.11752577322,19.0,2.0,46000.0,550000.0,79430.22645281751
4,2015-07-31,109,129116.5137614679,27.0,1.0,53500.0,550000.0,84202.15150079736
4,2015-08-31,134,204893.28358208956,56.0,9.0,46000.0,2200000.0,387679.53399988764
4,2015-09-30,123,174529.67585365853,30.0,3.0,47000.0,1790000.0,230983.04892670765
4,2015-10-31,156,134560.92025641026,36.0,0.0,48000.0,419000.0,71907.80901666837
4,2015-11-30,157,134055.41401273885,44.0,2.0,47000.0,900000.0,109596.46108062982
4,2015-12-31,111,115746.50261261262,21.0,0.0,38843.38,290000.0,51594.90399650913
4,2016-01-31,103,121645.9381553398,36.0,4.0,49500.0,1000000.0,147300.24927621428
4,2016-02-29,104,132029.9760576923,28.0,2.0,37417.51,950000.0,128317.97216381044
4,2016-03-31,196,141642.85714285713,48.0,4.0,38500.0,980000.0,120302.61927792017
4,2016-04-30,113,142250.6782300885,20.0,1.0,10241.43,800000.0,93407.10602963904
4,2016-05-31,93,151183.87096774194,22.0,5.0,47000.0,980000.0,150560.46040387446
4,2016-06-30,94,154674.46808510637,20.0,4.0,43000.0,1500000.0,194117.92388486423
4,2016-07-31,170,152381.6925882353,30.0,4.0,32000.0,2200000.0,199240.9021202131
4,2016-08-31,170,158551.92323529415,33.0,6.0,6985.6,1300000.0,141320.9737993841
4,2016-09-30,97,140442.65505154638,18.0,1.0,30037.54,655000.0,89635.87138216659
4,2016-10-31,140,159930.85985714284,18.0,1.0,29900.0,564000.0,92423.48367361596
