lat,long,id,object,name,comune
-34.5971403818529,-58.4916851582509,732,public WiFi location,"Metrobus San Martín, Estación Comunicaciones",11
-34.5977308550165,-58.483611345177,731,public WiFi location,"Metrobus San Martín, Estación Agronomía",11
-34.5987465091667,-58.4810042743324,730,public WiFi location,"Metrobus San Martín, Estación Empedrado",11
-34.6015692461088,-58.4701064124591,729,public WiFi location,"Metrobus San Martín, Estación Álvarez Jonte",15
-34.5807630536297,-58.4455214836623,728,public WiFi location,"Parques y Plazas, Plaza Mafalda",13
-34.6089421047319,-58.406037010678,723,public WiFi location,Estación Once - 30 de Diciembre - Línea H,3
-34.5825078593767,-58.4187012958104,718,public WiFi location,Jardín Botánico (Casona),14
-34.5827785805383,-58.4171168389254,717,public WiFi location,Jardin Botánico Carlos Thays,14
-34.5999725509561,-58.511058988209,716,public WiFi location,Htal. Zubizarreta,11
-34.6253368904816,-58.5076139395859,715,public WiFi location,Htal. Velez Sarfield,10
-34.6150402789385,-58.4483015756095,714,public WiFi location,Museo de Esculturas Luis Perlotti,6
-34.6280790547908,-58.3714309532972,713,public WiFi location,Edificio Finochietto,4
-34.6122194775092,-58.3858303606371,711,public WiFi location,Agencia de Protección Ambiental,1
-34.6042796422951,-58.4330297198065,710,public WiFi location,Señalamiento Luminoso,6
-34.6503866080475,-58.4029185524954,708,public WiFi location,Sede NIDO - Barrio Zavaleta,4
-34.6106759684483,-58.3698240113815,707,public WiFi location,Ministerio de Educación,1
-34.6766188757883,-58.4538434338092,706,public WiFi location,CIM Villa Lugano,8
-34.6120925777804,-58.4116817268224,705,public WiFi location,CIM Margarita Malharro,3
-34.6012555765468,-58.4191822994397,704,public WiFi location,CIM Elvira Rawson,5
-34.5872706916233,-58.4089384900678,703,public WiFi location,Servicio Social Zonal 14,14
-34.5537815833309,-58.4640249624256,702,public WiFi location,Servicio Social Zonal 13,13
-34.6000166542063,-58.3915509579091,701,public WiFi location,Servicio Social Zonal 2,1
-34.6276971096281,-58.4218481731296,700,public WiFi location,Servicio Social Zonal 5,5
-34.623219703625,-58.3986181999926,699,public WiFi location,Servicio Social Zonal 3,3
-34.6016829598231,-58.4623346735102,698,public WiFi location,Servicio Social Zonal 15,15
-34.6016829598231,-58.4623346735102,697,public WiFi location,Servicio Social Zonal 10,15
-34.6290175812606,-58.3698690067363,695,public WiFi location,Edificio Lezama,1
-34.6285242258581,-58.4272873629078,678,public WiFi location,ISC - ASI Desarrollo,7
-34.5841200414108,-58.3749264148556,677,public WiFi location,Portal Inclusivo Villa 31,1
-34.6022568125962,-58.3680451216643,674,public WiFi location,Terminal Combis Puerto Madero,1
-34.5805640913086,-58.464141845839,664,public WiFi location,Servicio Social Zonal 12,15
-34.6132846158482,-58.524193640854,663,public WiFi location,Servicio Social Zonal 11,11
-34.6607972748633,-58.4332393496743,662,public WiFi location,CMB Nº 39,8
-34.6518262956173,-58.4777544804623,661,public WiFi location,CMB Nº 38,9
-34.6461645357414,-58.3718220054287,660,public WiFi location,CMB Nº 37,4
-34.5852024732771,-58.4860670312675,659,public WiFi location,CMB Nº 36,15
-34.5912460693846,-58.498832091436,658,public WiFi location,CMB Nº 35,15
-34.5894254693965,-58.4411670575732,657,public WiFi location,CMB Nº 34,15
-34.5447607999572,-58.476601587884,656,public WiFi location,CMB Nº 33,12
-34.6280012985796,-58.5040161329697,655,public WiFi location,CMB Nº 32,10
-34.6394122276215,-58.4460586762086,654,public WiFi location,CMB Nº 31,7
-34.6335933458017,-58.3704862935966,653,public WiFi location,CMB Nº 30,4
-34.6124424014035,-58.4033114965249,652,public WiFi location,CMB Nº 29,3
-34.6658770993537,-58.4849701614135,651,public WiFi location,CMB Nº 28,8
-34.6051603143746,-58.4448889910928,648,public WiFi location,CMB Nº 27,15
-34.5517267713519,-58.4631591247924,647,public WiFi location,CMB Nº 26,13
-34.6328125406703,-58.4040087005944,645,public WiFi location,CMB Nº 24,4
-34.6297947919835,-58.429706136227,644,public WiFi location,CMB Nº 23,7
-34.6030770684934,-58.3794235704549,643,public WiFi location,"Conservatorio S. M. ""Manuel de Falla""",1
-34.603041018269,-58.3794345083749,642,public WiFi location,"Conservatorio S. M. ""Manuel de Falla""",1
-34.6465934118243,-58.5136080983807,641,public WiFi location,Polideportivo Santojanni,9
-34.5798824150905,-58.4455456567543,640,public WiFi location,Polideportivo Colegiales,13
-34.5849896360167,-58.4137084531004,637,public WiFi location,CMB Nº 22,14
-34.64935435663,-58.4943617241047,636,public WiFi location,CMB Nº 20,9
-34.6137422033411,-58.5266752081579,635,public WiFi location,CMB Nº 19,10
-34.6505420699384,-58.4318016908883,634,public WiFi location,SECHI Madre del Pueblo,7
-34.6230884210032,-58.4023296683482,632,public WiFi location,Estación Humberto 1º - Línea H,3
-34.6412674404756,-58.4123851480475,628,public WiFi location,Estación Hospitales - Línea H,4
-34.615244691345,-58.4047377431694,624,public WiFi location,Estación Venezuela - Línea H,3
-34.62937917327,-58.4009700451907,621,public WiFi location,Estación Inclán - Línea H,4
-34.6357482612228,-58.3989341266402,616,public WiFi location,Estación Caseros - Línea H,4
-34.5556376465821,-58.4623845508901,608,public WiFi location,Estación Congreso de Tucumán - Línea D,13
-34.562307606856,-58.4564959002182,605,public WiFi location,Estación Juramento - Línea D,13
-34.5662144238654,-58.452123419621,600,public WiFi location,Estación José Hernández - Línea D,13
-34.5700136079215,-58.4446705178753,595,public WiFi location,Estación Olleros - Línea D,14
-34.5996347641407,-58.3931267701459,585,public WiFi location,Estación Callao - Línea D,3
-34.5882365121899,-58.4112947497204,576,public WiFi location,Estación Bulnes - Línea D,14
-34.5851538297115,-58.4159598709854,572,public WiFi location,Estación R. Scalabrini Ortiz - Línea D,14
-34.5916254406162,-58.4071709059624,567,public WiFi location,Estación Agüero - Línea D,2
-34.601586445542,-58.3851436060007,562,public WiFi location,Estación Tribunales - Línea D,1
-34.6089389006323,-58.406039193396,556,public WiFi location,Espacio Subte Digital Once - 30 de Diciembre - Línea H,3
-34.6230984703822,-58.4023312218609,555,public WiFi location,Espacio Subte Digital Humberto 1º - Línea H,3
-34.6357512291318,-58.3989254011466,554,public WiFi location,Espacio Subte Digital Caseros - Línea H,4
-34.6092400867061,-58.3736804948211,553,public WiFi location,Espacio Subte Digital Bolivar - Línea E,1
-34.6078001792052,-58.3739569974545,552,public WiFi location,Espacio Subte Digital Catedral - Línea D,1
-34.6042427105967,-58.3805763407772,551,public WiFi location,Espacio Subte Digital 9 de Julio Línea D,1
-34.5997643798604,-58.3979272085267,550,public WiFi location,Espacio Subte Digital Facultad de Medicina - Línea D,3
-34.581410322368,-58.4211984551324,549,public WiFi location,Espacio Subte Digital Plaza Italia - Línea D,14
-34.5784202515756,-58.4257146632194,548,public WiFi location,Espacio Subte Digital Palermo - Línea D,14
-34.5751711958501,-58.4350097564353,547,public WiFi location,Espacio Subte Digital Carranza - Línea D,14
-34.6029923433781,-58.3699297247645,546,public WiFi location,Espacio Subte Digital Alem - Línea B,1
-34.6307070600453,-58.469639651188,544,public WiFi location,Espacio Subte Digital San Pedrito - Línea A,7
-34.6120039293508,-58.4797546183575,543,public WiFi location,CMB Nº 13,11
-34.6193106613858,-58.4651482800009,541,public WiFi location,CMB Nº 12,7
-34.6559179970118,-58.4556782711074,540,public WiFi location,SECHI Plaza Carrillo,8
-34.660474033834,-58.4471031767715,537,public WiFi location,SECHI Sede Barrio Fátima,8
-34.6409743206695,-58.4316876865409,536,public WiFi location,CMB Nº 8,7
-34.6452086369702,-58.5124123417808,535,public WiFi location,CMB Nº 7,9
-34.6196032137453,-58.3937070289882,534,public WiFi location,CMB Nº 6,3
