barrio,date,count,mean,count 10th percentile,count 90th percentile,min,max,std
4,2015-10-31,14,1588.7764285714281,0.0,1.0,403.67,6255.71,1813.7218144450808
4,2015-11-30,33,1024.188484848485,0.0,0.0,395.33,2642.95,897.9645599184342
4,2015-12-31,15,631.1193333333334,7.0,0.0,275.42,944.85,300.09624452514436
4,2016-01-31,31,1441.6296774193547,0.0,0.0,420.72,3845.9,1363.5718234609276
4,2016-02-29,3,433.48,0.0,0.0,433.48,433.48,0.0
4,2016-03-31,31,2502.6974193548385,11.0,6.0,232.51,8784.03,3199.500864880821
4,2016-04-30,22,2302.705454545455,3.0,0.0,329.44,3779.4,1285.7410029229848
4,2016-05-31,46,1672.5113043478261,5.0,0.0,200.52,4310.05,970.4014652242506
4,2016-06-30,80,1604.3607500000012,11.0,2.0,329.53,7420.4,1575.569788606347
4,2016-07-31,140,3190.1548571428607,9.0,12.0,259.38,7076.45,1431.5418975660577
4,2016-08-31,24,2709.6541666666667,0.0,7.0,408.4,5669.11,2120.5157309278134
4,2016-09-30,66,1915.5424242424233,11.0,7.0,272.25,7514.79,2183.5884245843235
4,2016-10-31,55,1544.5463636363634,6.0,0.0,251.52,3890.29,905.1285792010615
4,2016-11-30,129,1634.2559689922464,15.0,10.0,250.49,6613.96,1566.3892675191723
4,2016-12-31,78,4725.9789743589745,4.0,8.0,291.81,38000.0,10579.854819676286
4,2017-01-31,86,1088.7103488372095,21.0,0.0,198.19,3869.96,810.4871393913046
4,2017-02-28,67,2004.6149253731342,8.0,6.0,249.75,7500.0,2068.282936984769
4,2017-03-31,101,1208.1377227722778,27.0,4.0,270.85,5039.21,1085.9237577158733
4,2017-04-30,141,1202.946028368795,14.0,0.0,283.45,3779.4,1008.9334665433872
4,2017-05-31,187,3468.375347593583,18.0,27.0,201.9,40000.0,8124.697020340603
4,2017-06-30,134,2550.183507462685,23.0,14.0,252.37,25000.0,5000.6915517839225
4,2017-07-31,179,1753.7789385474866,26.0,8.0,224.33,25000.0,3518.88079139614
4,2017-08-31,132,2608.9600757575763,20.0,21.0,300.12,21000.0,4397.121844583712
4,2017-09-30,197,3197.0259898477175,33.0,28.0,287.76,80000.0,8454.19735076641
4,2017-10-31,194,840.7649999999999,52.0,0.0,76.48,3742.08,766.6688519480947
4,2017-11-30,133,2063.654511278195,10.0,7.0,193.58,13000.0,2269.251704530114
4,2017-12-31,65,1399.1895384615386,2.0,0.0,219.18,4911.05,1365.5117423680751
4,2018-01-31,95,1613.2205263157903,20.0,7.0,237.07,12735.6,2811.7651442217502
4,2018-02-28,2,649.51,0.0,0.0,382.06,916.96,378.2314172566844
5,2014-08-31,3,40130.03333333333,0.0,2.0,390.1,60000.0,34415.791811366675
5,2014-10-31,4,2466.09,0.0,0.0,2466.09,2466.09,0.0
5,2014-12-31,6,1044.16,0.0,0.0,1044.16,1044.16,0.0
5,2015-01-31,7,291.5,7.0,0.0,291.5,291.5,0.0
5,2015-04-30,7,9216.58,0.0,7.0,9216.58,9216.58,0.0
5,2015-05-31,11,573.8454545454547,0.0,0.0,461.22,770.94,156.26147652979836
5,2015-06-30,14,39.809999999999995,14.0,0.0,39.81,39.81,0.0
5,2015-07-31,12,2584.979166666667,0.0,0.0,1202.17,3572.7,1220.6538139751046
5,2015-08-31,7,4196.41,0.0,0.0,4196.41,4196.41,0.0
5,2015-09-30,7,2067.227142857143,0.0,0.0,1869.43,2561.72,337.80293075076986
5,2015-10-31,7,400.75,0.0,0.0,400.75,400.75,0.0
5,2015-11-30,6,365.01,6.0,0.0,365.01,365.01,0.0
5,2016-01-31,12,1712.6549999999997,5.0,0.0,355.56,2684.98,1197.9690940959583
5,2016-03-31,8,1121.4675,3.0,0.0,363.4,3000.0,1165.8674335783512
5,2016-04-30,1,597.29,0.0,0.0,597.29,597.29,
5,2016-05-31,1,1773.21,0.0,0.0,1773.21,1773.21,
5,2016-06-30,2,387.34,0.0,0.0,387.34,387.34,0.0
5,2016-07-31,6,961.4700000000001,0.0,0.0,961.47,961.47,0.0
5,2016-08-31,2,409.73,0.0,0.0,409.73,409.73,0.0
5,2016-09-30,2,775.41,0.0,0.0,775.41,775.41,0.0
5,2016-10-31,7,944.8500000000001,0.0,0.0,944.85,944.85,0.0
5,2016-11-30,15,1687.3866666666665,5.0,0.0,313.79,2834.55,1167.901974095103
5,2016-12-31,3,433.5933333333333,2.0,0.0,358.45,583.88,130.15207118341732
5,2017-01-31,13,5545.6030769230765,0.0,6.0,1040.0,10708.32,4974.981698129459
5,2017-02-28,8,1088.7212499999998,0.0,0.0,587.98,1611.44,291.64268668734735
5,2017-03-31,2,578.31,0.0,0.0,402.57,754.05,248.53389145144766
5,2017-04-30,13,229.48769230769227,10.0,0.0,89.73,396.83,133.97821950811297
5,2017-05-31,23,644.4673913043479,10.0,0.0,314.95,1511.76,398.14432733982966
5,2017-06-30,24,544.2004166666667,5.0,0.0,314.95,1266.18,303.62080916941187
5,2017-07-31,29,4024.585862068965,12.0,10.0,100.0,14505.36,5341.601388545465
5,2017-08-31,14,1035.8135714285713,1.0,0.0,294.88,2589.92,844.8919506668581
5,2017-09-30,26,1612.603846153846,3.0,0.0,368.6,2901.07,1143.0070362515776
5,2017-10-31,22,1142.8118181818181,0.0,0.0,397.35,2551.88,849.1113185568183
5,2017-11-30,36,770.1455555555557,4.0,0.0,288.85,2610.96,638.2549167107111
5,2017-12-31,19,1452.5357894736842,4.0,2.0,268.75,9000.0,2674.987903965
5,2018-01-31,11,583.5645454545455,3.0,0.0,229.98,2504.28,642.3019793269151
6,2014-08-31,2,735.37,0.0,0.0,735.37,735.37,0.0
6,2014-09-30,5,1893.5040000000001,0.0,0.0,947.4,2524.24,863.6708375764462
6,2014-10-31,5,3852.928,0.0,0.0,424.68,4709.99,1916.4488929319245
6,2014-11-30,54,3211.2042592592575,0.0,4.0,416.07,13045.75,2980.0820701568264
6,2014-12-31,18,476.0899999999999,12.0,0.0,301.49,801.49,236.9742800638177
6,2015-01-31,34,1661.2167647058827,0.0,1.0,636.89,8359.43,1554.3310008249784
6,2015-02-28,53,1575.489056603773,11.0,2.0,317.64,11650.07,2113.5047133887356
6,2015-03-31,3,1856.3833333333332,0.0,0.0,536.52,2998.85,1240.7132788172025
6,2015-04-30,57,4659.307368421053,0.0,21.0,564.1,20000.0,6043.060286789578
6,2015-05-31,22,1521.5281818181816,6.0,5.0,169.53,5432.05,2180.3678051620127
6,2015-06-30,25,2082.8696000000004,0.0,4.0,965.57,5047.35,1427.7913555426553
6,2015-07-31,43,3194.5995348837196,2.0,7.0,153.62,8750.0,2645.8665424843093
6,2015-08-31,12,1950.843333333333,1.0,0.0,310.76,2306.12,584.085458525211
6,2015-09-30,32,1531.0150000000003,0.0,0.0,388.25,2536.78,649.5076962865675
6,2015-10-31,17,2332.2117647058817,0.0,0.0,597.25,3981.94,1585.885531112016
6,2015-11-30,34,2525.397647058823,0.0,0.0,556.03,4771.75,1812.1448947320375
6,2015-12-31,11,1699.5618181818181,4.0,0.0,345.1,2521.27,1075.5292135764437
6,2016-01-31,32,4597.1075,0.0,14.0,686.38,7873.76,3002.4527856909303
6,2016-02-29,15,3271.5599999999995,0.0,1.0,2122.36,16591.45,3687.469213134435
